,"Month, Year",HM-NE,CF-NE,FF-NE,HM-SW,CF-SW,FF-SW,HM-NW,CF-NW,FF-NW,HM-SE,CF-SE,FF-SE,HM-C,CF-C,FF-C,NE-Total,SW-Total,NW-Total,SE-Total,C-Total,Total-Sales,HM-Total,CF-Total,FF-Total
22,Nov-17,1572618,655257,393154,1542173,617373,385543,1519708,633211,365028,1439282,599701,374507,1475555,590704,368888,2621029,2545089,2517947,2413490,2435147,12532702,7549336,3096246,1887120
23,Dec-17,1588665,661944,397166,1570750,628813,392687,1492847,647408,388445,1537545,615520,384386,1517969,632487,379492,2647775,2592250,2528700,2537451,2529948,12836124,7707776,3186172,1942176
24,Jan-18,1574815,656173,409773,1607493,643522,386113,1586799,661166,381143,1570926,628883,377330,1547730,644887,371758,2640761,2637128,2629108,2577139,2564375,13048511,7887763,3234631,1926117
25,Feb-18,1688763,703651,422190,1597750,665729,399437,1640630,656788,410157,1545259,670138,402082,1517826,632427,394944,2814604,2662916,2707575,2617479,2545197,13347771,7990228,3328733,2028810
26,Mar-18,1574816,656173,378264,1551672,621175,387918,1532001,638333,383000,1509031,628762,362463,1486792,595202,371698,2609253,2560765,2553334,2500256,2453692,12677300,7654312,3139645,1883343
27,Apr-18,1623266,676361,422380,1605619,669008,401404,1574000,655833,409561,1611615,645172,402903,1532852,638688,383213,2722007,2676031,2639394,2659690,2554753,13251875,7947352,3285062,2019461
28,May-18,1672456,725300,435180,1709237,684253,410552,1622550,676062,405637,1601156,667148,400289,1580994,685635,411381,2832936,2804042,2704249,2668593,2678010,13687830,8186393,3438398,2063039
29,Jun-18,1559609,676361,405816,1534783,665594,399356,1569245,653852,392311,1491366,621402,372841,1474712,639543,383726,2641786,2599733,2615408,2485609,2497981,12840517,7629715,3256752,1954050
30,Jul-18,1671717,669233,401540,1587310,688374,413024,1566687,679430,391671,1603342,641861,385116,1583461,659775,395865,2742490,2688708,2637788,2630319,2639101,13338406,8012517,3338673,1987216
31,Aug-18,1654831,717656,413707,1625106,704765,406276,1662321,692634,399283,1574144,682664,409598,1543848,669525,385962,2786194,2736147,2754238,2666406,2599335,13542320,8060250,3467244,2014826
32,Sep-18,1606160,696549,417929,1642152,657397,410538,1618403,647890,404600,1536130,666178,384032,1520076,659216,380019,2720638,2710087,2670893,2586340,2559311,13247269,7922921,3327230,1997118
33,Oct-18,1380063,579193,361700,1351220,594662,342805,1351293,586020,351612,1334204,555918,333551,1364454,546227,341113,2320956,2288687,2288925,2223673,2251794,11374035,6781234,2862020,1730781
34,Nov-18,1551486,621101,387871,1524624,635260,366208,1440957,600398,374943,1417422,590592,368819,1451913,604963,362978,2560458,2526092,2416298,2376833,2419854,12299535,7386402,3052314,1860819
35,Dec-18,1446801,579193,347515,1419772,591571,341023,1343743,559893,335935,1383670,576529,345917,1360520,566883,340130,2373509,2352366,2239571,2306116,2267533,11539095,6954506,2874069,1710520
36,Jan-19,1581146,632975,379785,1499626,650348,374906,1534569,639403,383642,1518435,607870,364722,1434785,597827,358696,2593906,2524880,2557614,2491027,2391308,12558735,7568561,3128423,1861751
37,Feb-19,1503795,626581,375948,1537661,615567,384415,1460434,608514,365108,1432313,596797,372693,1416053,614105,368463,2506324,2537643,2434056,2401803,2398621,12278447,7350256,3061564,1866627
38,Mar-19,1519140,608152,379785,1444534,626456,375873,1474888,590437,354262,1453373,581824,349094,1375864,596676,343966,2507077,2446863,2419587,2384291,2316506,12074324,7267799,3003545,1802980
39,Apr-19,1488760,620316,387381,1524090,635037,381022,1442209,600920,360552,1414702,613518,368111,1448080,603366,362020,2496457,2540149,2403681,2396331,2413466,12250084,7317841,3073157,1859086
40,May-19,1596480,665200,383468,1506271,627613,391937,1547080,619337,386770,1470550,637738,367637,1500448,625187,360401,2645148,2525821,2553187,2475925,2486036,12686117,7620829,3175075,1890213
41,Jun-19,1488759,620316,357594,1410073,587530,352518,1446819,579200,347520,1371090,571287,342772,1407434,563433,351858,2466669,2350121,2373539,2285149,2322725,11798203,7124175,2921766,1752262
42,Jul-19,1458378,583828,364594,1379296,598164,344824,1416344,567000,340200,1336287,556786,347707,1366136,546901,341534,2406800,2322284,2323544,2240780,2254571,11547979,6956441,2852679,1738859
43,Aug-19,1502572,601520,360912,1422314,616820,355578,1462348,585417,351250,1386752,601397,360838,1416674,590281,340279,2465004,2394712,2399015,2348987,2347234,11954952,7190660,2995435,1768857
44,Sep-19,1458379,607658,379476,1431260,620699,372419,1472377,589432,353659,1397616,606109,363665,1383228,599869,345807,2445513,2424378,2415468,2367390,2328904,11981653,7142860,3023767,1815026
